date,city,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-18,Chennai,112.0,True,100.99999999999996,78.99999999999997,91.00000000000001,84.12013507404087,104.28981502011699,98.8421485422011,91.0069616484897,91.76384415078655,58.57080662072887
2020-06-19,Chennai,109.0,True,100.99999999999996,112.00000000000003,87.99999999999999,84.24380078049435,104.27875614177634,99.7379155965275,89.52064650608241,91.04019464425167,58.611361402097806
2020-06-20,Chennai,152.0,True,100.99999999999996,104.99999999999997,92.00000000000003,84.36756699127693,104.23910853724928,99.5593699059494,89.20038762978804,92.53706124221766,59.16535817466083
2020-06-21,Chennai,140.0,True,100.99999999999996,87.99999999999999,96.0,84.49119073670906,104.1726056748125,100.79386010941181,90.0117163281847,93.10912859732875,59.44649293940637
2020-06-22,Chennai,106.0,True,100.99999999999996,100.99999999999996,109.00000000000004,84.61452405390347,104.08092147572026,97.7482311432819,89.02310105714639,91.8645736728951,58.09613273073844
2020-06-23,Chennai,109.0,True,100.99999999999996,78.99999999999997,100.99999999999996,84.73747702377204,103.96567527736681,99.79016776440498,88.89207789907005,94.86633741030322,60.60162701061094
2020-06-24,Chennai,102.0,True,100.99999999999996,77.0,128.99999999999997,84.85999519061026,103.82843584226305,102.22489664230001,88.50758760989272,97.031607790032,63.862308293978955
2020-06-25,Chennai,108.0,True,100.99999999999996,78.99999999999997,179.0,84.98204576742803,103.6707247962149,98.8421485422011,89.20101107580496,97.0997390844975,63.69038892609284
2020-06-26,Chennai,95.0,True,100.99999999999996,112.00000000000003,69.00000000000003,85.10360920844748,103.49401963453522,99.7379155965275,89.47394174665162,100.3586984625925,64.06124006403503
2020-06-27,Chennai,95.0,True,100.99999999999996,104.99999999999997,78.0,85.22467406047652,103.29975635499974,99.5593699059494,90.51997874443322,100.18900345288375,64.82630145210722
2020-06-28,Chennai,98.0,True,100.99999999999996,87.99999999999999,105.99999999999996,85.3452338174247,103.08933175083328,100.79386010941181,89.51151617940826,101.01327958564687,65.12037244439671
2020-06-29,Chennai,104.0,True,100.99999999999996,100.99999999999996,123.00000000000003,85.46528499859232,102.86410538949897,97.7482311432819,89.92852797283366,103.88189339659043,63.460529282603076
2020-06-30,Chennai,110.0,True,100.99999999999996,78.99999999999997,125.0,85.58482597459626,102.62540130118833,99.79016776440498,90.65748545436054,109.0015316072982,65.8333910878757
2020-07-01,Chennai,92.0,True,100.99999999999996,77.0,73.00000000000003,85.7038562500479,102.37450940059561,102.22489664230001,90.42582432486724,109.87469905113372,68.82651754077912
2020-06-02,Hyderabad,79.0,True,55.00000000000002,89.0,91.00000000000001,64.10950942409022,63.28863495345681,58.69074793068798,70.95227698324159,60.50454417432274,69.33170309092179
2020-06-03,Hyderabad,38.0,True,55.00000000000002,87.00000000000003,75.0,72.3378640619374,70.60650061221043,59.425738069630846,71.27905223641073,63.171494739293834,69.99635987745734
2020-06-04,Hyderabad,33.0,True,55.00000000000002,86.0,86.0,76.39367321272947,72.48921563984536,59.33249747046554,72.16144860598193,63.984578641760606,68.70082055844256
2020-06-05,Hyderabad,38.0,True,55.00000000000002,84.00000000000001,102.99999999999999,77.84579609471514,73.17962046572416,57.96886868171643,72.93478321543567,62.3581602697189,66.80973385467156
2020-06-06,Hyderabad,58.0,True,55.00000000000002,64.99999999999997,89.0,78.31444811981858,74.38418942887049,57.1439430474793,72.11320438298284,60.6922925040612,64.19204322935664
2020-06-07,Hyderabad,64.0,True,55.00000000000002,67.00000000000001,78.0,78.54754585590535,74.52884854818014,59.50291901760479,70.8243000471821,59.24670003591391,63.57217298712875
2020-06-08,Hyderabad,54.0,True,55.00000000000002,55.00000000000002,87.99999999999999,78.76948919492072,75.43438224314416,58.37957198403828,71.09284280149744,58.46376900277649,62.46096088775294
2020-06-09,Hyderabad,57.0,True,55.00000000000002,89.0,75.0,79.01473493919727,75.11819981974779,58.69074793068798,70.5134795867227,56.69169999436152,61.50995802043205
2020-06-10,Hyderabad,48.0,True,55.00000000000002,87.00000000000003,60.00000000000001,79.27408396614678,74.85710365325878,59.425738069630846,71.18364707918487,56.17208800467924,61.91618704070021
2020-06-11,Hyderabad,42.0,True,55.00000000000002,86.0,47.99999999999999,79.53734775435561,74.8520413127686,59.33249747046554,71.12308797765687,55.63103732641584,60.648886497897315
2020-06-12,Hyderabad,42.0,True,55.00000000000002,84.00000000000001,39.0,79.79958465865096,74.87547832771598,57.96886868171643,71.31541351641394,58.16340501014121,58.92133543702503
2020-06-13,Hyderabad,38.0,True,55.00000000000002,64.99999999999997,40.00000000000001,80.05917146783881,74.88216368828064,57.1439430474793,70.57509785222135,58.773552501783186,56.6138258814525
2020-06-14,Hyderabad,32.0,True,55.00000000000002,67.00000000000001,55.00000000000002,80.3157960908929,74.8639610460985,59.50291901760479,70.92025869030395,57.3047383216758,56.128325057524556
2020-06-15,Hyderabad,33.0,True,55.00000000000002,55.00000000000002,56.999999999999986,80.56949732144383,74.82031917528926,58.37957198403828,69.95261715576542,55.75612176767334,55.260041742339915
2020-06-16,Hyderabad,31.0,True,55.00000000000002,89.0,60.00000000000001,80.82035115781426,74.75223698819538,58.69074793068798,70.62739272851881,56.2595560993974,54.57981355928979
2020-06-17,Hyderabad,29.0,True,55.00000000000002,87.00000000000003,60.00000000000001,81.0684092020226,74.6610275489744,59.425738069630846,71.75646676557261,56.44245328295683,55.151071316760195
2020-06-18,Hyderabad,30.0,True,55.00000000000002,86.0,60.00000000000001,81.31370334170481,74.54806317705248,59.33249747046554,73.50254365795827,55.97100519257612,54.266409352361
2020-06-19,Hyderabad,37.0,True,55.00000000000002,84.00000000000001,54.000000000000014,81.55625684937515,74.41472119410257,57.96886868171643,73.11608130890697,55.797246006190015,52.99130806671106
2020-06-20,Hyderabad,52.0,True,55.00000000000002,64.99999999999997,64.99999999999997,81.7960904855697,74.26237079604115,57.1439430474793,72.50439828702058,56.88732117198192,51.202353764447764
2020-06-21,Hyderabad,56.0,True,55.00000000000002,67.00000000000001,60.00000000000001,82.03322470882286,74.09236845503668,59.50291901760479,73.65317716067375,56.728161660374575,51.07097291434028
2020-06-22,Hyderabad,60.0,True,55.00000000000002,55.00000000000002,60.00000000000001,82.26768019291289,73.90605519241058,58.37957198403828,72.62300853962672,56.22257182788419,50.59741721831917
2020-06-23,Hyderabad,51.0,True,55.00000000000002,89.0,61.99999999999999,82.49947783900498,73.70475436113648,58.69074793068798,72.79356841268087,56.838346884820524,50.29487065715116
2020-06-24,Hyderabad,51.0,True,55.00000000000002,87.00000000000003,61.99999999999999,82.72863870838623,73.48976965835719,59.425738069630846,73.37652340257667,57.324508799425814,51.14733934456928
2020-06-25,Hyderabad,52.0,True,55.00000000000002,86.0,60.00000000000001,82.95518397488462,73.26238330902251,59.33249747046554,72.37975819341314,56.979477477005545,50.639993033496644
2020-06-26,Hyderabad,52.0,True,55.00000000000002,84.00000000000001,37.99999999999999,83.1791349000245,73.02385440663274,57.96886868171643,72.81638483668021,56.91089878544939,49.743677583512806
2020-06-27,Hyderabad,58.0,True,55.00000000000002,64.99999999999997,35.0,83.40051281948165,72.77541740603881,57.1439430474793,75.5921355113375,57.46643536205965,48.330700963378135
2020-06-28,Hyderabad,49.0,True,55.00000000000002,67.00000000000001,35.0,83.61933913348818,72.51828076487934,59.50291901760479,74.62295248639863,57.33638543060566,48.45241743302612
2020-06-29,Hyderabad,47.0,True,55.00000000000002,55.00000000000002,39.0,83.83563529825716,72.25362573033114,58.37957198403828,72.03420391304292,56.690599623004424,48.22055400494506
2020-06-30,Hyderabad,46.0,True,55.00000000000002,89.0,43.99999999999999,84.04942281763128,71.98260526763991,58.69074793068798,75.36401498446098,56.730143633541125,48.11968507516335
2020-07-01,Hyderabad,48.0,True,55.00000000000002,87.00000000000003,35.99999999999999,84.2607232348646,71.7063431266022,59.425738069630846,74.96658822881064,56.81115991611125,49.09518845836178
2020-06-02,Lucknow,99.0,True,84.99999999999997,146.99999999999994,183.99999999999991,98.02035077056095,102.81437742304968,89.86921106253452,90.64799811543355,93.00292520909429,112.86131609577292
2020-06-03,Lucknow,110.0,True,84.99999999999997,205.00000000000003,174.00000000000006,106.02796779657263,115.4150416240029,93.86964455694836,100.4330857800515,104.80272455784474,110.00458782181238
2020-06-04,Lucknow,142.0,True,84.99999999999997,135.00000000000006,194.99999999999991,110.01213214393647,121.32953688238894,87.14786993725097,91.70437831150876,108.92429573446775,107.55650403048777
2020-06-05,Lucknow,100.0,True,84.99999999999997,78.0,205.00000000000003,112.15236524926223,124.44434371078349,84.23170730748838,96.0390672734415,109.14151226174535,106.16426256057245
2020-06-06,Lucknow,84.0,True,84.99999999999997,97.00000000000004,145.0,113.48148533117488,127.57884065789128,81.96381381373757,97.06587720933142,112.40890852098771,103.69341265664994
2020-06-07,Lucknow,70.0,True,84.99999999999997,81.00000000000001,103.99999999999997,114.45856905133577,129.4437519863475,82.3630022180531,95.28111651922029,112.23847602107682,101.86582174174619
2020-06-08,Lucknow,77.0,True,84.99999999999997,84.99999999999997,151.0,115.28242082269493,131.26649855559413,86.03874721552921,93.9574631827068,118.08449900543253,99.98881574133527
2020-06-09,Lucknow,148.0,True,84.99999999999997,146.99999999999994,183.00000000000006,116.03819585814185,133.02972944075015,89.86921106253452,99.98731566948506,123.33113574055336,101.78131079001086
2020-06-10,Lucknow,193.0,True,84.99999999999997,205.00000000000003,173.0,116.76219506006824,134.39506701212682,93.86964455694836,94.23289676973408,127.69591744027073,98.9463662125492
2020-06-11,Lucknow,183.0,True,84.99999999999997,135.00000000000006,143.99999999999997,117.46985642644907,135.4248173341026,87.14786993725097,95.8830006395628,127.55196966537864,96.53080736091499
2020-06-12,Lucknow,166.0,True,84.99999999999997,78.0,162.0,118.16773408076807,136.19181299835827,84.23170730748838,106.6458827744654,128.69156243429939,95.10348199678889
2020-06-13,Lucknow,117.0,True,84.99999999999997,97.00000000000004,201.99999999999997,118.85860435342802,136.7321318219984,81.96381381373757,96.69625114572311,131.22976253229072,92.73943294302839
2020-06-14,Lucknow,91.0,True,84.99999999999997,81.00000000000001,225.00000000000009,119.54363850098221,137.06760720032156,82.3630022180531,100.08643632491665,132.34205023383134,90.97356344923158
2020-06-15,Lucknow,79.0,True,84.99999999999997,84.99999999999997,198.99999999999991,120.22332650833785,137.21443899967034,86.03874721552921,99.37606739201809,134.37001937170095,89.17626580545118
2020-06-16,Lucknow,76.0,True,84.99999999999997,146.99999999999994,113.00000000000003,120.89786971698629,137.18645568163046,89.86921106253452,94.15796080229421,137.71317788936994,90.65607196773917
2020-06-17,Lucknow,73.0,True,84.99999999999997,205.00000000000003,114.00000000000001,121.56734765338467,136.99633409568108,93.86964455694836,102.85625710048194,149.01896775823633,88.0036342364699
2020-06-18,Lucknow,75.0,True,84.99999999999997,135.00000000000006,160.00000000000003,122.23178889540223,136.65604652157197,87.14786993725097,105.05507778654501,152.81922444542053,85.71798182926655
